iteration,beta,mu
1,0.14326306160282193,0.0025009991318315967
2,0.1399203431162832,0.0026697489252901453
3,0.14272425924741572,0.002725448327984776
4,0.12965259337028476,0.00267835088622448
5,0.12356684120252073,0.0025180281430692633
6,0.11593432150505839,0.0023719740344977924
7,0.11599651249726071,0.002067992200076317
8,0.13146432595274124,0.0017418973209125843
9,0.11619668170073497,0.0014568761980028025
10,0.1007073075843502,0.0011729743714956676
11,0.09485591025867113,0.0008891454158331497
12,0.1039396787636747,0.0006665655904140145
